IndexTotal,Index,Title,AverageReviewScore,NumberOfReviews,Images,Highlights,Price,Savings,MonthlyPayment
34,16,Ethereal - HELIOS 12-Outlet/2-USB Unlimited Joules Surge Protector - Black Brushed Aluminum,4.4,23,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e4b2619d-5e9a-412f-84c0-38cafd390495.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/ytxmvzmgwlbmtvubytqc.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/e4b2619d-5e9a-412f-84c0-38cafd390495.jpg;maxHeight=1920;maxWidth=900?format=webp']",,419.99,80,35
35,0,Samsung - 65 Class S95F Series OLED 4K UHD SamsungVision AI Smart Tizen TV (2025),4.6,14,https://www.bestbuy.com/site/samsung-65-class-s95f-series-oled-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613492.p?skuId=6613492,,3099.99,1000,129.16
36,1,"Sony - 65"" Class BRAVIA 8 OLED 4K UHD Smart Google TV (2024)",4.7,737,https://www.bestbuy.com/site/sony-65-class-bravia-8-oled-4k-uhd-smart-google-tv-2024/6578577.p?skuId=6578577,,1699.99,400,70.83
37,2,Samsung - 43 Class QN90D Series Neo QLED 4K Mini LED Smart Tizen TV (2024),4.5,67,https://www.bestbuy.com/site/samsung-43-class-qn90d-series-neo-qled-4k-mini-led-smart-tizen-tv-2024/6576432.p?skuId=6576432,,899.99,200,37.5
38,3,Samsung - The Freestyle 2nd Gen with Gaming Hub FHD HDR Smart Portable Projector - White,4.5,297,https://www.bestbuy.com/site/samsung-the-freestyle-2nd-gen-with-gaming-hub-fhd-hdr-smart-portable-projector-white/6552953.p?skuId=6552953,,599.99,100,24.99
39,4,Samsung - 65 Class QN90F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),4.6,5,https://www.bestbuy.com/site/samsung-65-class-qn90f-series-neo-qled-mini-led-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613496.p?skuId=6613496,,2099.99,600,87.49
40,5,"Sony - 65"" Class BRAVIA 8 II OLED 4K UHD Smart Google TV (2025)",5,10,https://www.bestbuy.com/site/sony-65-class-bravia-8-ii-oled-4k-uhd-smart-google-tv-2025/6626032.p?skuId=6626032,,2999.99,100,124.99
41,6,"Sony - 55"" Class BRAVIA 8 OLED 4K UHD Smart Google TV (2024)",4.6,361,https://www.bestbuy.com/site/sony-55-class-bravia-8-oled-4k-uhd-smart-google-tv-2024/6578569.p?skuId=6578569,,1398,200,58.25
42,7,"AWOL Vision - LTV-3000 Pro 4K Smart UHD 3D Triple Laser Ultra Short Throw Projector with HDR10+, Dolby Vision & Atmos - Black",4.9,166,https://www.bestbuy.com/site/awol-vision-ltv-3000-pro-4k-smart-uhd-3d-triple-laser-ultra-short-throw-projector-with-hdr10--dolby-vision-atmos-black/6567557.p?skuId=6567557,,2999,700,124.95
43,8,"LG - 65"" Class C5 Series OLED evo AI 4K UHD Smart webOS TV (2025)",4.1,10,https://www.bestbuy.com/site/lg-65-class-c5-series-oled-evo-ai-4k-uhd-smart-webos-tv-2025/6621824.p?skuId=6621824,,2299.99,500,95.83
44,9,"Sony - 55"" class BRAVIA XR A95L OLED 4K UHD Smart Google TV (2023)",4.7,155,https://www.bestbuy.com/site/sony-55-class-bravia-xr-a95l-oled-4k-uhd-smart-google-tv-2023/6553384.p?skuId=6553384,,2199.99,500,91.66
45,10,Samsung - 65 Class S90F Series OLED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,12,https://www.bestbuy.com/site/samsung-65-class-s90f-series-oled-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613491.p?skuId=6613491,,2199.99,500,91.66
46,11,"Sony - 75"" Class BRAVIA 9 Mini LED QLED 4K UHD Smart Google TV (2024)",4.7,121,https://www.bestbuy.com/site/sony-75-class-bravia-9-mini-led-qled-4k-uhd-smart-google-tv-2024/6578575.p?skuId=6578575,,2998,400,124.9
47,12,"Sony - 55"" class BRAVIA 7 Mini LED QLED 4K UHD Smart Google TV (2024)",4.6,119,https://www.bestbuy.com/site/sony-55-class-bravia-7-mini-led-qled-4k-uhd-smart-google-tv-2024/6578573.p?skuId=6578573,,1299.99,400,54.16
48,13,Samsung - 50 Class QN90F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,3,https://www.bestbuy.com/site/samsung-50-class-qn90f-series-neo-qled-mini-led-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613504.p?skuId=6613504,,1399.99,500,58.33
49,14,"Sony - 85"" class BRAVIA 7 Mini LED QLED 4K UHD Smart Google TV (2024)",4.6,184,https://www.bestbuy.com/site/sony-85-class-bravia-7-mini-led-qled-4k-uhd-smart-google-tv-2024/6578570.p?skuId=6578570,,2599.99,700,108.25
50,15,Samsung - 55 Class S95D Series OLED 4K Glare-Free Smart Tizen TV (2024),4.7,158,https://www.bestbuy.com/site/samsung-55-class-s95d-series-oled-4k-glare-free-smart-tizen-tv-2024/6576559.p?skuId=6576559,,1597.99,300,66.5
51,16,Samsung - 85 Class QN85D Series NEO QLED 4K Mini LED Smart Tizen TV (2024),4.6,163,https://www.bestbuy.com/site/samsung-85-class-qn85d-series-neo-qled-4k-mini-led-smart-tizen-tv-2024/6576433.p?skuId=6576433,,1539.99,400,64.16
52,17,Samsung - 65 Class QN90D Series Neo QLED 4K Mini LED Smart Tizen TV (2024),4.8,199,https://www.bestbuy.com/site/samsung-65-class-qn90d-series-neo-qled-4k-mini-led-smart-tizen-tv-2024/6576428.p?skuId=6576428,,1299.99,400,54.16
53,18,Samsung - 55 Class QN80F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,1,https://www.bestbuy.com/site/samsung-55-class-qn80f-series-neo-qled-mini-led-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613502.p?skuId=6613502,,1199.99,200,49.99
54,19,Samsung - 43 Class QN90F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,1,https://www.bestbuy.com/site/samsung-43-class-qn90f-series-neo-qled-mini-led-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613498.p?skuId=6613498,,1199.99,500,49.99
55,20,"LG - 77"" Class B4 Series OLED 4K UHD Smart webOS TV (2024)",4.7,180,https://www.bestbuy.com/site/lg-77-class-b4-series-oled-4k-uhd-smart-webos-tv-2024/6578055.p?skuId=6578055,,1599.99,300,66.66
56,21,Samsung - 55 Class S85F Series OLED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,4,https://www.bestbuy.com/site/samsung-55-class-s85f-series-oled-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6614344.p?skuId=6614344,,1299.99,400,54.16
57,22,Samsung - 83 Class S85D Series OLED 4K Smart Tizen TV (2024),4.6,57,https://www.bestbuy.com/site/samsung-83-class-s85d-series-oled-4k-smart-tizen-tv-2024/6578060.p?skuId=6578060,,1999.99,500,83.33
58,23,"LG - 65"" Class 85A Series QNED evo AI MiniLED 4K UHD Smart  webOS TV (2025)",5,1,https://www.bestbuy.com/site/lg-65-class-85a-series-qned-evo-ai-miniled-4k-uhd-smart-webos-tv-2025/6621826.p?skuId=6621826,,999.99,200,41.66
59,24,"Sony - 65"" class BRAVIA XR A95L OLED 4K UHD Smart Google TV (2023)",4.7,377,https://www.bestbuy.com/site/sony-65-class-bravia-xr-a95l-oled-4k-uhd-smart-google-tv-2023/6553383.p?skuId=6553383,,2899.99,1000,120.84
60,25,Samsung - 75 Class QN90F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),5,3,https://www.bestbuy.com/site/samsung-75-class-qn90f-series-neo-qled-mini-led-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613455.p?skuId=6613455,,2699.99,800,112.49
61,26,Samsung - 42 Class S90F Series OLED 4K UHD SamsungVision AI Smart Tizen TV (2025),4,4,https://www.bestbuy.com/site/samsung-42-class-s90f-series-oled-4k-uhd-samsungvision-ai-smart-tizen-tv-2025/6613495.p?skuId=6613495,,1199.99,400,49.99
62,27,"LG - 83"" Class B4 Series OLED 4K UHD Smart webOS TV (2024)",4.8,86,https://www.bestbuy.com/site/lg-83-class-b4-series-oled-4k-uhd-smart-webos-tv-2024/6593579.p?skuId=6593579,,1999.99,900,83.33
63,28,Samsung - 83 Class S90D Series OLED 4K UHD Smart Tizen TV (2024),4.2,81,https://www.bestbuy.com/site/samsung-83-class-s90d-series-oled-4k-uhd-smart-tizen-tv-2024/6578064.p?skuId=6578064,,2839.93,900,118.33
64,29,"LG - 65"" Class 90 Series QNED MiniLED 4K UHD Smart webOS TV (2024)",4.5,27,https://www.bestbuy.com/site/lg-65-class-90-series-qned-miniled-4k-uhd-smart-webos-tv-2024/6578052.p?skuId=6578052,,1099.99,200,45.83
